motivo viaje,hora inicio,latitud origen,latitud destino,longitud origen,longitud destino,duracion viaje,dia habil,troncal origen,troncal destino
Volver a casa,14:56:00,4.6070199999999994,4.68774,-74.06908,-74.15369,01:00:00,1,J,D
Trabajar,07:00:00,4.73233,4.6123400000000006,-74.10085,-74.07043,01:00:00,1,C,J
Volver a casa,19:30:00,4.6123400000000006,4.73233,-74.07043,-74.10085,01:30:00,1,J,C
Tramites,06:00:00,4.61238,4.65032,-74.07125,-74.06845,01:00:00,1,J,E
Volver a casa,09:30:00,4.65032,4.61238,-74.06845,-74.07125,01:00:00,1,E,J
Estudiar,04:30:00,4.7479,4.626119999999999,-74.1,-74.10195999999999,02:00:00,1,C,K
Volver a casa,07:32:30,4.626119999999999,4.7479,-74.10195999999999,-74.1,00:50:00,1,K,C
Trabajar,07:00:00,4.7538599999999995,4.69383,-74.10072,-74.03293000000001,01:00:00,1,C,B
Volver a casa,13:46:00,4.69383,4.7538599999999995,-74.03293000000001,-74.10072,00:50:00,1,B,C
Trabajar,06:00:00,4.6996,4.69161,-74.05512,-74.02911999999999,01:30:00,1,B,B
Volver a casa,13:12:30,4.69161,4.7538599999999995,-74.02911999999999,-74.10072,00:54:30,1,B,C
Trabajar,06:00:00,4.56819,4.68736,-74.11535,-74.05861999999999,01:00:00,1,H,D
Volver a casa,16:30:00,4.68736,4.56819,-74.05861999999999,-74.11535,01:00:00,1,D,H
Estudiar,06:45:00,4.5483400000000005,4.62284,-74.1138,-74.06945999999999,00:29:00,1,H,A
Volver a casa,15:00:00,4.62284,4.5483400000000005,-74.06945999999999,-74.1138,01:00:00,1,A,H
Asuntos de Trabajo,17:47:00,4.64989,4.64005,-74.06609,-74.06288,01:00:00,1,E,A
Volver a casa,22:30:00,4.64005,4.64989,-74.06288,-74.06609,00:03:00,1,A,E
Tramites,05:30:00,4.56987,4.69355,-74.0804,-74.05496,01:00:00,1,L,B
Volver a casa,09:00:00,4.69355,4.56987,-74.05496,-74.0804,01:00:00,1,B,L
Otra cosa,05:30:00,4.56987,4.69347,-74.0804,-74.0549,01:00:00,1,L,B
Volver a casa,09:15:00,4.69347,4.56987,-74.0549,-74.0804,01:00:00,1,B,L
Trabajar,07:30:00,4.63614,4.68544,-74.15786999999999,-74.04496,00:50:00,0,F,B
Estudiar,06:00:00,4.63875,4.59881,-74.15686,-74.07228,01:31:00,0,F,J
Volver a casa,12:00:00,4.59881,4.63875,-74.07228,-74.15686,01:31:00,0,J,F
Trabajar,06:50:00,4.63828,4.662,-74.15732,-74.05793,01:10:00,0,F,E
Volver a casa,17:40:00,4.662,4.63705,-74.05793,-74.15762,01:34:00,0,E,F
Recibir atencion en salud,06:30:00,4.635680000000001,4.629630000000001,-74.15717,-74.12281,00:40:00,0,F,F
Volver a casa,08:46:10,4.629630000000001,4.635680000000001,-74.12281,-74.15717,01:10:40,0,F,F
Trabajar,05:30:00,4.56867,4.69146,-74.11565999999999,-74.07427,01:00:00,1,H,D
Volver a casa,12:32:30,4.69146,4.56867,-74.07427,-74.11565999999999,01:15:00,1,D,H
