MOTIVOVIAJE,HORA_INICIO,HORA_FIN,LATITUD_ORIGEN,LATITUD_DESTINO,LONGITUD_ORIGEN,LONGITUD_DESTINO,DIFERENCIA_HORAS,DIA_HABIL
Trabajar,04:30:00,05:46:00,4.56916,4.71343,-74.11784,-74.11499,01:16:00,1
Volver a casa,15:16:00,16:32:00,4.71343,4.56916,-74.11499,-74.11784,01:16:00,1
Otra cosa,05:30:00,06:45:00,4.56139,4.60887,-74.11356,-74.07622,01:15:00,1
Volver a casa,07:35:25,08:40:09,4.60887,4.56139,-74.07622,-74.11356,01:04:44,1
Trabajar,04:04:00,05:40:00,4.56929,4.57307,-74.11785,-74.15628,01:36:00,1
Volver a casa,14:08:00,15:00:00,4.57307,4.56929,-74.15628,-74.11785,00:52:00,1
Buscar/dejar dejar algo,08:09:00,08:38:00,4.67938,4.61899,-74.13866,-74.07540,00:29:00,1
Volver a casa,09:16:00,10:02:00,4.61899,4.67938,-74.07540,-74.13866,00:46:00,1
Trabajar,08:00:00,09:00:00,4.67938,4.65130,-74.13866,-74.05129,01:00:00,1
Volver a casa,14:21:00,15:52:00,4.65130,4.67938,-74.05129,-74.13866,01:31:00,1
Estudiar,10:14:00,11:15:00,4.67834,4.62622,-74.13758,-74.08175,01:01:00,1
Volver a casa,13:41:47,16:19:14,4.62622,4.67834,-74.08175,-74.13758,02:37:27,1
Trabajar,13:28:00,14:10:00,4.76262,4.75959,-74.02207,-74.02213,00:42:00,1
Compras,15:20:00,17:20:00,4.55609,4.63498,-74.10844,-74.06189,02:00:00,1
Volver a casa,19:00:00,20:00:00,4.63498,4.55685,-74.06189,-74.10746,01:00:00,1
Trabajar,06:00:00,07:30:00,4.61951,4.61723,-74.17035,-74.06778,01:30:00,1
Volver a casa,17:00:00,18:30:00,4.61723,4.61951,-74.06778,-74.17035,01:30:00,1
Estudiar,14:00:00,16:00:00,4.61907,4.60067,-74.16963,-74.06661,02:00:00,1
Volver a casa,17:46:00,19:41:00,4.60067,4.61907,-74.06661,-74.16963,01:55:00,1
Trabajar,05:30:00,06:00:00,4.56940,4.57856,-74.11800,-74.10794,00:30:00,1
Volver a casa,19:00:00,19:45:00,4.57856,4.56940,-74.10794,-74.11800,00:45:00,1
Compras,13:00:00,14:00:00,4.55552,4.55678,-74.10761,-74.10994,01:00:00,1
Volver a casa,16:20:00,17:20:00,4.55678,4.55552,-74.10994,-74.10761,01:00:00,1
Asuntos de Trabajo,04:20:00,06:20:00,4.60550,4.70029,-74.19416,-74.05932,02:00:00,1
Volver a casa,10:50:00,12:50:00,4.70029,4.60550,-74.05932,-74.19416,02:00:00,1
Compras,09:30:00,10:00:00,4.59669,4.58802,-74.08921,-74.10001,00:30:00,1
Volver a casa,11:41:00,12:10:00,4.58802,4.59669,-74.10001,-74.08921,00:29:00,1
Compras,09:00:00,09:30:00,4.59669,4.58802,-74.08921,-74.10001,00:30:00,1
Volver a casa,10:37:30,10:57:00,4.58802,4.59669,-74.10001,-74.08921,00:19:30,1
Volver a casa,13:35:00,14:05:00,4.62654,4.59625,-74.06564,-74.08707,00:30:00,1
Trabajar,08:00:00,08:50:00,4.59625,4.61078,-74.08707,-74.08608,00:50:00,1
Volver a casa,15:26:00,16:21:00,4.61078,4.59625,-74.08608,-74.08707,00:55:00,1
